Med,Baltic,RR,Ori Ave,Vermont,Connecticut,Charles Place,EE,States Ave,Virginia,Penn Rail,St. James,Tenn Ave,NY Ave,Ken Ave,Indiana,Illinois,B&O Rail,Atlantic Ave,Ventnor Ave,WW,Marvin Gardins,Pacific Ave,NC Ave,Penn Ave,Short Line,Park Place,Boardwalk
1.0266666666666664,1.9066666666666665,2.995,2.2823999999999995,2.064,2.0533333333333332,2.4457142857142857,0.17973333333333336,2.185714285714286,2.16,2.83,2.6444444444444444,2.8777777777777773,2.742400000000001,3.0403636363636366,2.9945454545454555,2.641666666666667,2.54,2.826153846153846,2.9615384615384626,0.2264000000000001,3.1114285714285703,2.8859999999999992,2.8773333333333335,2.925,2.655,3.24,3.17
1.0266666666666668,1.7466666666666666,2.49,2.2752,1.9260000000000002,2.166666666666667,2.3285714285714283,0.17493333333333336,2.1642857142857146,2.4225,2.6,2.7222222222222223,2.8777777777777778,2.6352,3.5149090909090903,2.9209090909090905,2.7833333333333328,2.64,2.936153846153847,2.9276923076923085,0.19680000000000006,3.0428571428571427,2.686666666666666,2.6,3.028125,2.235,3.36,2.9
0.95,1.9266666666666667,2.57,2.256,1.9380000000000004,2.306666666666666,2.688571428571428,0.19360000000000002,2.121428571428571,2.3775,2.485,2.6211111111111114,2.800000000000001,2.8144,2.8456363636363635,2.7245454545454546,3.0,2.675,3.1053846153846165,2.851538461538462,0.19386666666666671,2.742857142857142,2.6520000000000006,2.868666666666667,2.94375,2.845,3.11,3.25
0.953333333333333,1.866666666666667,2.47,1.8576000000000008,2.0639999999999996,2.0066666666666664,2.4214285714285704,0.20879999999999999,2.221428571428571,2.34,2.715,2.628888888888888,2.753333333333334,2.7359999999999998,3.1352727272727288,2.9700000000000006,3.0500000000000007,2.365,2.69923076923077,2.9784615384615387,0.22773333333333337,2.82,3.0419999999999994,2.7733333333333325,3.084375,2.445,2.88,3.29
1.036666666666667,1.9466666666666663,2.81,2.2536,1.986,2.0666666666666664,2.2499999999999996,0.18719999999999998,2.3000000000000003,2.4675,2.715,2.582222222222222,2.971111111111111,2.784,3.120545454545454,2.9536363636363636,3.1166666666666667,2.82,2.7246153846153844,2.9530769230769223,0.2285333333333334,2.6057142857142863,2.8859999999999992,2.8253333333333326,3.196875,2.445,3.23,3.27
0.9366666666666671,2.093333333333334,2.52,2.3796000000000004,2.1660000000000004,2.206666666666667,2.535714285714286,0.22000000000000003,2.185714285714286,2.31,2.565,2.6133333333333337,2.916666666666668,2.8336,3.2220000000000004,2.5936363636363633,2.858333333333333,2.99,2.936153846153847,2.902307692307693,0.1893333333333333,2.854285714285714,2.8859999999999997,2.6173333333333333,2.859375,2.645,3.64,2.67
1.0099999999999998,1.8399999999999996,2.635,2.1528,2.0579999999999994,2.0466666666666673,2.298571428571429,0.19573333333333334,2.321428571428571,2.2575,2.495,2.7300000000000018,2.566666666666667,3.1584000000000003,3.156545454545455,2.9618181818181823,3.1833333333333336,2.74,3.19,2.7753846153846156,0.20160000000000008,2.6057142857142863,2.9726666666666652,2.6953333333333336,3.16875,2.54,3.36,3.16
0.9233333333333331,1.906666666666666,2.78,2.2116,2.0700000000000003,2.0000000000000004,2.6971428571428566,0.18560000000000001,1.9999999999999991,2.37,2.265,2.8311111111111114,2.753333333333333,3.1247999999999996,3.151636363636363,2.781818181818181,2.958333333333333,2.805,2.800769230769231,3.0207692307692313,0.22853333333333337,2.794285714285715,2.963999999999999,2.7126666666666654,2.94375,2.215,3.31,3.11
0.9200000000000002,1.88,2.075,2.3256,2.0279999999999996,2.0733333333333337,2.5985714285714283,0.22293333333333337,2.2071428571428573,2.2575,3.11,2.6522222222222225,2.706666666666666,3.0288,2.732727272727273,2.953636363636363,2.916666666666666,2.54,3.215384615384616,2.885384615384615,0.2274666666666667,2.5542857142857147,2.764666666666667,2.998666666666667,3.084375,2.145,3.33,3.03
1.0066666666666668,1.7666666666666666,2.53,2.0112000000000005,1.9259999999999997,2.42,2.441428571428571,0.1861333333333333,2.2642857142857142,2.475,2.655,2.364444444444445,2.807777777777778,2.8416,3.557454545454546,3.1009090909090906,2.858333333333334,2.695,2.7753846153846156,2.910769230769231,0.2354666666666667,2.7600000000000007,2.73,2.617333333333334,3.0,2.365,3.37,2.69
0.9066666666666664,1.88,3.04,1.9211999999999996,1.9320000000000002,2.286666666666667,2.70142857142857,0.17386666666666667,2.1,2.4525,2.485,2.418888888888888,3.002222222222222,3.1376,3.207272727272727,2.8636363636363638,2.8833333333333333,2.8,2.716153846153846,2.8600000000000008,0.25120000000000003,2.682857142857143,2.7126666666666663,2.8686666666666674,2.98125,2.57,3.45,3.17
0.9033333333333334,1.9666666666666668,2.11,2.4108,2.01,2.2400000000000007,2.2042857142857146,0.20346666666666663,2.178571428571429,2.3325,2.91,2.5355555555555562,2.426666666666667,2.8784000000000005,3.4003636363636374,2.5936363636363633,2.775,2.815,3.1138461538461537,2.707692307692308,0.21520000000000006,2.6999999999999993,2.981333333333333,2.7126666666666672,3.09375,2.6,3.43,3.13
0.9366666666666668,1.9866666666666666,2.79,1.9931999999999999,2.0519999999999996,2.2666666666666666,2.354285714285713,0.20320000000000005,2.2214285714285715,2.37,2.145,2.4733333333333336,2.73,2.8319999999999994,3.0125454545454557,2.7981818181818188,2.766666666666666,3.63,2.86,2.826153846153846,0.21760000000000004,2.6914285714285717,2.7300000000000004,2.8599999999999994,3.0,2.53,3.24,3.03
0.88,1.7733333333333337,3.085,2.1,1.848,2.26,2.3,0.2045333333333334,2.1142857142857143,2.1825,2.39,2.6366666666666676,2.8855555555555554,3.2320000000000007,2.994545454545455,2.7981818181818188,3.0999999999999996,2.15,2.7161538461538464,3.003846153846153,0.22186666666666668,3.017142857142856,2.7039999999999993,2.7646666666666664,2.878125,2.67,3.32,2.98
0.9600000000000002,1.88,2.91,2.262,2.046,2.0666666666666664,2.7142857142857144,0.21786666666666668,2.1928571428571417,2.31,2.565,2.5433333333333343,2.5744444444444445,2.856,3.043636363636365,2.937272727272728,2.9749999999999996,2.56,2.7330769230769234,2.9699999999999993,0.22399999999999998,2.6914285714285717,2.7386666666666666,2.842666666666666,3.0,2.475,3.27,2.94
