Med,Baltic,RR,Ori Ave,Vermont,Connecticut,Charles Place,EE,States Ave,Virginia,Penn Rail,St. James,Tenn Ave,NY Ave,Ken Ave,Indiana,Illinois,B&O Rail,Atlantic Ave,Ventnor Ave,WW,Marvin Gardins,Pacific Ave,NC Ave,Penn Ave,Short Line,Park Place,Boardwalk
0.18733333333333338,0.3746666666666666,2.6,0.5004000000000001,0.41040000000000004,0.3679999999999999,0.6028571428571429,0.21493333333333342,0.39714285714285724,0.474,2.765,0.5413333333333331,0.5351111111111109,0.6479999999999998,0.6905454545454545,0.5645454545454548,0.6299999999999999,2.31,0.6193846153846154,0.6193846153846152,0.2058666666666667,0.5039999999999999,0.5702666666666668,0.5130666666666669,0.5285000000000001,2.7,0.606,0.715
0.1666666666666667,0.4026666666666665,2.38,0.5064,0.3791999999999999,0.4146666666666665,0.6328571428571429,0.20746666666666674,0.4385714285714286,0.47550000000000003,2.58,0.5755555555555556,0.5226666666666666,0.6703999999999999,0.7265454545454543,0.567818181818182,0.5916666666666665,2.42,0.5703076923076923,0.5584615384615383,0.20586666666666673,0.5245714285714286,0.5494666666666668,0.6153333333333333,0.5407500000000001,2.335,0.648,0.825
0.20333333333333328,0.38,2.76,0.48720000000000013,0.4080000000000002,0.43733333333333335,0.5442857142857143,0.18880000000000005,0.4557142857142856,0.4650000000000001,2.665,0.5397777777777776,0.5195555555555554,0.6416,0.7641818181818185,0.5596363636363639,0.57,2.955,0.5449230769230768,0.5838461538461537,0.2114666666666667,0.5365714285714285,0.6032,0.5182666666666667,0.53375,2.31,0.6540000000000002,0.8125
0.18533333333333327,0.37866666666666654,2.705,0.5147999999999999,0.3924,0.4466666666666667,0.5542857142857145,0.21466666666666678,0.43285714285714294,0.48150000000000004,2.685,0.5102222222222221,0.5973333333333332,0.5776,0.7756363636363638,0.5776363636363638,0.6333333333333334,2.8,0.5296923076923076,0.6193846153846152,0.21600000000000005,0.5245714285714286,0.5858666666666669,0.5789333333333334,0.4585,2.55,0.6720000000000003,0.7775
0.18733333333333327,0.39999999999999986,2.655,0.4751999999999999,0.37799999999999995,0.4959999999999999,0.5542857142857144,0.16693333333333338,0.4671428571428573,0.3945000000000001,2.215,0.518,0.5459999999999999,0.6496,0.6921818181818182,0.559636363636364,0.6133333333333334,2.85,0.5584615384615386,0.5635384615384615,0.20586666666666673,0.49371428571428555,0.5581333333333335,0.6032000000000002,0.5670000000000001,2.625,0.5800000000000001,0.8475
0.18999999999999997,0.40933333333333316,2.65,0.48720000000000013,0.366,0.41599999999999987,0.5757142857142855,0.20720000000000005,0.4514285714285715,0.4635,2.36,0.49,0.5413333333333332,0.592,0.7903636363636363,0.5760000000000004,0.5266666666666666,2.46,0.6092307692307692,0.5889230769230769,0.21360000000000004,0.5468571428571429,0.5165333333333334,0.5928000000000001,0.5932499999999999,2.24,0.7460000000000001,0.705
0.21133333333333337,0.3559999999999999,2.62,0.48599999999999993,0.40680000000000016,0.42933333333333323,0.5814285714285714,0.22506666666666672,0.45857142857142863,0.4755000000000001,2.6,0.5055555555555555,0.5864444444444442,0.5871999999999998,0.7576363636363636,0.5907272727272728,0.6149999999999998,2.53,0.5940000000000002,0.5872307692307692,0.1893333333333334,0.4971428571428571,0.5876,0.5512,0.5617499999999999,2.58,0.6520000000000001,0.7225
0.18666666666666665,0.34533333333333327,3.44,0.48360000000000025,0.4272000000000001,0.4119999999999998,0.547142857142857,0.20986666666666673,0.40285714285714286,0.49199999999999994,2.92,0.5444444444444446,0.5724444444444444,0.5951999999999997,0.710181818181818,0.5498181818181821,0.5950000000000003,2.325,0.6210769230769232,0.5906153846153847,0.2045333333333333,0.5554285714285715,0.5789333333333332,0.5096,0.6159999999999999,2.48,0.706,0.755
0.18999999999999997,0.33733333333333343,2.4,0.5112,0.4284000000000001,0.44266666666666665,0.5914285714285715,0.1850666666666667,0.4314285714285714,0.42150000000000015,2.16,0.5662222222222222,0.5646666666666668,0.6159999999999998,0.7003636363636366,0.5890909090909092,0.6233333333333334,2.335,0.6210769230769233,0.5398461538461539,0.22240000000000001,0.6000000000000001,0.5720000000000001,0.5182666666666669,0.61425,2.28,0.6619999999999999,0.7175
0.17800000000000002,0.41866666666666674,2.545,0.5148,0.38879999999999987,0.452,0.56,0.22106666666666677,0.45857142857142863,0.4860000000000001,2.515,0.46044444444444443,0.5522222222222222,0.6255999999999999,0.7216363636363634,0.5890909090909096,0.5566666666666668,2.99,0.6092307692307694,0.582153846153846,0.17706666666666668,0.5125714285714286,0.5876000000000002,0.5910666666666669,0.5390000000000001,2.51,0.6040000000000002,0.7525
